response,rt,difficulty,subj_idx
0.0,0.773999999998,easy,0
1.0,0.854000000002,easy,0
1.0,1.483,easy,0
0.0,0.654999999998,easy,0
0.0,0.581999999998,easy,0
1.0,1.101,easy,0
1.0,1.364,easy,0
1.0,0.752000000002,easy,0
0.0,0.739999999998,easy,0
0.0,0.763999999998,easy,0
1.0,1.126,hard,0
1.0,0.700000000002,hard,0
1.0,0.928000000002,hard,0
1.0,0.908000000002,hard,0
1.0,0.943000000002,hard,0
1.0,0.944000000002,hard,0
1.0,0.557000000002,hard,0
1.0,0.635000000002,hard,0
1.0,1.558,hard,0
1.0,0.968000000002,hard,0
