,"Titles Napo 9 : Risk assessment",,,,,,,,,,,,,,,,,,,,,
,"ES (Spanish)","CS (Czech)","DA (Danish)","DE (German)","ET (Estonian)","EL (Greek)","EN (English)","FR (French)","IT (Italian)","LV (Latvian)","LT (Lithuanian)","HU (Hungary)","MT (Maltese)","NL (Dutch)","PL (Polish)","PT (Portuguese)","SK (Slovakian)","SL (Slovenian)","FI (Finnish)","SV (Swedish)","RO (Romanian)","BG (Bulgarian)"
"title_napo_film_9","NAPO en…evaluación de riesgos","Napo v … rizikové situaci","Napo på farlige arbejdspladser","Napo in “Schach dem Risiko“","Napo ja ohtlik tegevus  ","Ο ΝΑΠΟ... σε κίνδυνο!","Napo in ... risky business","Napo dans “Echec au risque”","Napo a tu per tu con I rischi","Napo riskantā biznesā","Napo... ir pavojinga veikla","Napo ""kockázatos munkahelyen""","Napo u r-Riskji","Napo… in gevaarlijke situaties","Napo i …ryzykowne sytuacje","Napo em...actividade de risco","Napo na rizikovom pracovisku","Napo … pri tveganih opravilih","NAPO riskien kimpussa","Napo i riskfylld verksamhet","Napo se confruntă cu riscurile","Напо в ... рискова ситуация"
,"Atención peligro","Opatrně, nebezpečí","Fare på færde","Achtung Gefahr!","Ettevaatust - oht!","Προσοχή, πηγές κινδύνου!","Caution hazards","Attention danger!","Attenzione pericoli!","Brīdinājuma draudi ???","Atsargiai, pavojinga","Vigyázat, veszély!","Attent mill-perikli!","Opgepast gevaar!","Uważaj na zagrożenia","Aviso de perigo","Pozor nebezpečenstvo!","Pozor! Nevarnost.","Huomioi vaarat","Se upp fara!","Atenţie pericol!","Внимание опасност!"
"title_napo_episode_9_1","Evaluar el riesgo","Vyhodnoťte rizika","Vurder risikoen ","Das Risiko einschätzen","Hinda riski","Αξιολογήστε τον κίνδυνο","Assess the risk","Evaluer le risque","Valutare i rischi","Novērtē risku","Vertink riziką","Mérjük fel a kockázatokat!","Evalwa r-riskji","Risico inschatten","Oceń ryzyko","Avalie o risco","Hodnotenie rizika","Oceni tveganje!","Arvioi riskit","Bedöm risken","Evaluaţi riscurile","Оцени риска"
"title_napo_episode_9_2","Identificar el riesgo","Identifikujte neznámé","Bekæmp risikoen ","Unbekanntes identifizieren","Tee kindlaks tundmatu","Προσδιορίστε τον κίνδυνο","Identify the unknown","Identifier le danger","Rischio sconosciuto","Noskaidro nezināmo","Nustatyk nežinomą","Határozzuk meg a veszélyeket!","Riskju li ma tafx bih","Het onbekende identificeren","Rozpoznaj ryzyko","Identifique o desconhecido","Identifikácia neznámeho","Opredeli neznano!","Tunnista tuntematon","Identifiera det okända","Identificaţi pericolele","Определи опасността"
"title_napo_episode_9_3","Actuar sobre los riesgos","Odstraňujte rizika","Fjern risikoen ","Handeln – für alle","Avalda mõju riskidele  Tegutse vastavalt riskile","Καταπολεμείστε τους κινδύνους","Act on risks","Agir sur le risque","Intervenire sui rischi","????","Imkis veiksmų","Kezeljük a kockázatokat!","Ħu azzjoni fuq ir-riskji","Optreden tegen risico’s ","Reaguj na zagrożenie","Actue sobre os riscos","Správanie sa v riziku","Ukrepaj!","Toimi!","Risker - handla","Acţionaţi asupra riscurilor


","Противодействай на риска"
"title_napo_episode_9_4","Combinación peligrosa","Kombinace rizik","Kortlægning af risikoen ","Gefährliche Kombination","Ohtlik koosesinemine Ohtlik koosmõju","Επικίνδυνος συνδυασμός","Risky combination","Combinaisons dangereuses","Molteplicità di pericoli","Riskanta kombinācija","Pavojingas derinys","Veszélyes kombináció","Periklu wara l-ieħor","Gevaarlijke combinatie ","Różne rodzaje zagrożeń","Ligação perigosa","Kombinácia nebezpečenstiev","Tvegane kombinacije","Vaarallinen yhdistelmä","Riskfylld kombination","Combinaţii periculoase","Комбинация от рискове"
"title_napo_episode_9_5","Eliminar el riesgo","Omezujte rizika","Udryd risikoen","Das Risiko beseitigen","Kõrvalda risk","Μειώστε τον κίνδυνο ","Eliminate the risk","Eliminer le risque","Eliminare i rischi","Samazini risku","Pašalink riziką","Küszöböljük ki a kockázatokat!","Elimina r-riskji","Risico’s elimineren ","Eliminuj ryzyko","Elimine o risco","Eliminácia rizika","Odpravi tveganje!","Poista riski","Eliminera risken","Eliminaţi riscurile","Премахни риска"
"title_napo_episode_9_6","La seguridad compensa","Bezpečnost se vyplatí","Sikkerhed betaler sig","Sicherheit zahlt sich aus","Ohutus on see, mis maksab Ohutus maksab","Η ασφάλεια στην εργασία ανταμείβει","Safety pays","La sécurité paie","La sicurezza paga","Drošība atmaksājas","Sauga apsimoka","A biztonság kifizetődik","Is-sigurtà tirrendi","Veiligheid loont ","Bezpieczeństwo się opłaca","A segurança compensa","Bezpečnosť sa oplatí ","Varnost se splača","Turvallisuus kannattaa","Säkerhet lönar sig","Lipsa securităţii costă","Безопасността си струва парите"
"title_napo_episode_9_7","The End","The End","The End","The End","The End","The End","The End","The End","The End","The End","The End","The End","The End","The End","The End","The End","The End","The End","The End","The End","The End","The End"
